Name,
Address,
Account Number,
Disclaimer,The information contained in this file is intended for the personal and confidential use of the recipient(s) named above.  Any unauthorized use is prohibited.
Title,CSV Export Electric Meter(s)
Resource,Electric
Meter Number,
Interval UOM,Minute(s)
Reading Start,10/14/2022 00:00
Reading End,5/13/2023 23:45
Total Duration,212 Days
Total Usage,-432.226699999952
UOM,kWh
Meter Number,Date,Start Time,Duration,Consumption,Generation,Net
"06852723","11/15/2022","3:45 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","4:00 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","4:15 AM","15","0.0400","0.0000","0.0400"
"06852723","11/15/2022","4:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","4:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","5:00 AM","15","0.0450","0.0000","0.0450"
"06852723","11/15/2022","5:15 AM","15","0.0300","0.0000","0.0300"
"06852723","11/15/2022","5:30 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","5:45 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","6:00 AM","15","0.0600","0.0000","0.0600"
"06852723","11/15/2022","6:15 AM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","6:30 AM","15","0.0450","0.0000","0.0450"
"06852723","11/15/2022","6:45 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","7:00 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","7:15 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","7:30 AM","15","0.0500","0.0000","0.0500"
"06852723","11/15/2022","7:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","8:00 AM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","8:15 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","8:30 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","8:45 AM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","9:00 AM","15","0.1050","0.0000","0.1050"
"06852723","11/15/2022","9:15 AM","15","0.0700","0.0000","0.0700"
"06852723","11/15/2022","9:30 AM","15","0.0650","0.0000","0.0650"
"06852723","11/15/2022","9:45 AM","15","0.0750","0.0000","0.0750"
"06852723","11/15/2022","10:00 AM","15","0.2150","0.0000","0.2150"
"06852723","11/15/2022","10:15 AM","15","0.2400","0.0000","0.2400"
"06852723","11/15/2022","10:30 AM","15","0.1000","0.0000","0.1000"
"06852723","11/15/2022","10:45 AM","15","0.0600","0.0000","0.0600"
"06852723","11/15/2022","11:00 AM","15","0.1250","0.0000","0.1250"
"06852723","11/15/2022","11:15 AM","15","0.2600","0.0000","0.2600"
"06852723","11/15/2022","11:30 AM","15","0.1650","0.0000","0.1650"
"06852723","11/15/2022","11:45 AM","15","0.1200","0.0000","0.1200"
"06852723","11/15/2022","12:00 PM","15","0.0850","0.0000","0.0850"
"06852723","11/15/2022","12:15 PM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","12:30 PM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","12:45 PM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","1:00 PM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","1:15 PM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","1:30 PM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","1:45 PM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","2:00 PM","15","0.0450","0.0000","0.0450"
"06852723","11/15/2022","2:15 PM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","2:30 PM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","2:45 PM","15","0.0450","0.0000","0.0450"
"06852723","11/15/2022","3:00 PM","15","0.0750","0.0000","0.0750"
"06852723","11/15/2022","3:15 PM","15","0.0600","0.0000","0.0600"
"06852723","11/15/2022","3:30 PM","15","0.0900","0.0000","0.0900"
"06852723","11/15/2022","3:45 PM","15","0.0950","0.0000","0.0950"
"06852723","11/15/2022","4:00 PM","15","0.0900","0.0000","0.0900"
"06852723","11/15/2022","4:15 PM","15","0.0850","0.0000","0.0850"
"06852723","11/15/2022","4:30 PM","15","0.0650","0.0000","0.0650"
"06852723","11/15/2022","4:45 PM","15","0.0700","0.0000","0.0700"
"06852723","11/15/2022","5:00 PM","15","0.0700","0.0000","0.0700"
"06852723","11/15/2022","5:15 PM","15","0.0700","0.0000","0.0700"
"06852723","11/15/2022","5:30 PM","15","0.0950","0.0000","0.0950"
"06852723","11/15/2022","5:45 PM","15","0.0900","0.0000","0.0900"
"06852723","11/15/2022","6:00 PM","15","0.0800","0.0000","0.0800"
"06852723","11/15/2022","6:15 PM","15","0.0450","0.0000","0.0450"
"06852723","11/15/2022","6:30 PM","15","0.0450","0.0000","0.0450"
"06852723","11/15/2022","6:45 PM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","7:00 PM","15","0.0350","0.0000","0.0350"
"06852723","11/15/2022","7:15 PM","15","0.0800","0.0000","0.0800"
"06852723","11/15/2022","7:30 PM","15","0.0800","0.0000","0.0800"
"06852723","11/15/2022","7:45 PM","15","0.0800","0.0000","0.0800"
"06852723","11/15/2022","8:00 PM","15","0.0600","0.0000","0.0600"
"06852723","11/15/2022","8:15 PM","15","0.0600","0.0000","0.0600"
"06852723","11/15/2022","8:30 PM","15","0.0600","0.0000","0.0600"
"06852723","11/15/2022","8:45 PM","15","0.0550","0.0000","0.0550"
"06852723","11/15/2022","9:00 PM","15","0.0750","0.0000","0.0750"
"06852723","11/15/2022","9:15 PM","15","0.0800","0.0000","0.0800"
"06852723","11/15/2022","9:30 PM","15","0.1000","0.0000","0.1000"
"06852723","11/15/2022","9:45 PM","15","0.0700","0.0000","0.0700"
"06852723","11/15/2022","10:00 PM","15","0.0650","0.0000","0.0650"
"06852723","11/15/2022","10:15 PM","15","0.0650","0.0000","0.0650"
"06852723","11/15/2022","10:30 PM","15","0.0900","0.0000","0.0900"
"06852723","11/15/2022","10:45 PM","15","0.1050","0.0000","0.1050"
"06852723","11/15/2022","11:00 PM","15","0.1000","0.0000","0.1000"
"06852723","11/15/2022","11:15 PM","15","0.0900","0.0000","0.0900"
"06852723","11/15/2022","11:30 PM","15","0.0800","0.0000","0.0800"
"06852723","11/15/2022","11:45 PM","15","0.0800","0.0000","0.0800"
"06852723","11/16/2022","12:00 AM","15","0.0800","0.0000","0.0800"
"06852723","11/16/2022","12:15 AM","15","0.0750","0.0000","0.0750"
"06852723","11/16/2022","12:30 AM","15","0.0800","0.0000","0.0800"
"06852723","11/16/2022","12:45 AM","15","0.1050","0.0000","0.1050"
"06852723","11/16/2022","1:00 AM","15","0.0800","0.0000","0.0800"
"06852723","11/16/2022","1:15 AM","15","0.0400","0.0000","0.0400"
"06852723","11/16/2022","1:30 AM","15","0.0400","0.0000","0.0400"
"06852723","11/16/2022","1:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","2:00 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","2:15 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","2:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","2:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","3:00 AM","15","0.0400","0.0000","0.0400"
"06852723","11/16/2022","3:15 AM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","3:30 AM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","3:45 AM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","4:00 AM","15","0.0500","0.0000","0.0500"
"06852723","11/16/2022","4:15 AM","15","0.0600","0.0000","0.0600"
"06852723","11/16/2022","4:30 AM","15","0.0500","0.0000","0.0500"
"06852723","11/16/2022","4:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","5:00 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","5:15 AM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","5:30 AM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","5:45 AM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","6:00 AM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","6:15 AM","15","0.0400","0.0000","0.0400"
"06852723","11/16/2022","6:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","6:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","7:00 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","7:15 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","7:30 AM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","7:45 AM","15","0.1000","0.0000","0.1000"
"06852723","11/16/2022","8:00 AM","15","0.0650","0.0000","0.0650"
"06852723","11/16/2022","8:15 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","8:30 AM","15","0.1150","0.0000","0.1150"
"06852723","11/16/2022","8:45 AM","15","0.1000","0.0000","0.1000"
"06852723","11/16/2022","9:00 AM","15","0.0750","0.0000","0.0750"
"06852723","11/16/2022","9:15 AM","15","0.0950","0.0000","0.0950"
"06852723","11/16/2022","9:30 AM","15","0.0850","0.0000","0.0850"
"06852723","11/16/2022","9:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","10:00 AM","15","0.0900","0.0000","0.0900"
"06852723","11/16/2022","10:15 AM","15","0.0450","0.0000","0.0450"
"06852723","11/16/2022","10:30 AM","15","0.0750","0.0000","0.0750"
"06852723","11/16/2022","10:45 AM","15","0.0800","0.0000","0.0800"
"06852723","11/16/2022","11:00 AM","15","0.0850","0.0000","0.0850"
"06852723","11/16/2022","11:15 AM","15","0.0750","0.0000","0.0750"
"06852723","11/16/2022","11:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","11:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","12:00 PM","15","0.0500","0.0000","0.0500"
"06852723","11/16/2022","12:15 PM","15","0.0450","0.0000","0.0450"
"06852723","11/16/2022","12:30 PM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","12:45 PM","15","0.0650","0.0000","0.0650"
"06852723","11/16/2022","1:00 PM","15","0.0650","0.0000","0.0650"
"06852723","11/16/2022","1:15 PM","15","0.0650","0.0000","0.0650"
"06852723","11/16/2022","1:30 PM","15","0.0450","0.0000","0.0450"
"06852723","11/16/2022","1:45 PM","15","0.0450","0.0000","0.0450"
"06852723","11/16/2022","2:00 PM","15","0.0450","0.0000","0.0450"
"06852723","11/16/2022","2:15 PM","15","0.1050","0.0000","0.1050"
"06852723","11/16/2022","2:30 PM","15","0.0700","0.0000","0.0700"
"06852723","11/16/2022","2:45 PM","15","0.0600","0.0000","0.0600"
"06852723","11/16/2022","3:00 PM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","3:15 PM","15","0.0400","0.0000","0.0400"
"06852723","11/16/2022","3:30 PM","15","0.0350","0.0000","0.0350"
"06852723","11/16/2022","3:45 PM","15","0.0400","0.0000","0.0400"
"06852723","11/16/2022","4:00 PM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","4:15 PM","15","0.0700","0.0000","0.0700"
"06852723","11/16/2022","4:30 PM","15","0.0900","0.0000","0.0900"
"06852723","11/16/2022","4:45 PM","15","0.0650","0.0000","0.0650"
"06852723","11/16/2022","5:00 PM","15","0.0650","0.0000","0.0650"
"06852723","11/16/2022","5:15 PM","15","0.0900","0.0000","0.0900"
"06852723","11/16/2022","5:30 PM","15","0.0900","0.0000","0.0900"
"06852723","11/16/2022","5:45 PM","15","0.0800","0.0000","0.0800"
"06852723","11/16/2022","6:00 PM","15","0.1050","0.0000","0.1050"
"06852723","11/16/2022","6:15 PM","15","0.0900","0.0000","0.0900"
"06852723","11/16/2022","6:30 PM","15","0.1100","0.0000","0.1100"
"06852723","11/16/2022","6:45 PM","15","0.1950","0.0000","0.1950"
"06852723","11/16/2022","7:00 PM","15","0.2250","0.0000","0.2250"
"06852723","11/16/2022","7:15 PM","15","0.1550","0.0000","0.1550"
"06852723","11/16/2022","7:30 PM","15","0.1400","0.0000","0.1400"
"06852723","11/16/2022","7:45 PM","15","0.1100","0.0000","0.1100"
"06852723","11/16/2022","8:00 PM","15","0.0800","0.0000","0.0800"
"06852723","11/16/2022","8:15 PM","15","0.1050","0.0000","0.1050"
"06852723","11/16/2022","8:30 PM","15","0.1250","0.0000","0.1250"
"06852723","11/16/2022","8:45 PM","15","0.0950","0.0000","0.0950"
"06852723","11/16/2022","9:00 PM","15","0.0750","0.0000","0.0750"
"06852723","11/16/2022","9:15 PM","15","0.0450","0.0000","0.0450"
"06852723","11/16/2022","9:30 PM","15","0.0650","0.0000","0.0650"
"06852723","11/16/2022","9:45 PM","15","0.0750","0.0000","0.0750"
"06852723","11/16/2022","10:00 PM","15","0.0700","0.0000","0.0700"
"06852723","11/16/2022","10:15 PM","15","0.0550","0.0000","0.0550"
"06852723","11/16/2022","10:30 PM","15","0.0500","0.0000","0.0500"
"06852723","11/16/2022","10:45 PM","15","0.0850","0.0000","0.0850"
"06852723","11/16/2022","11:00 PM","15","0.0850","0.0000","0.0850"
"06852723","11/16/2022","11:15 PM","15","0.1050","0.0000","0.1050"
"06852723","11/16/2022","11:30 PM","15","0.0700","0.0000","0.0700"
"06852723","11/16/2022","11:45 PM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","12:00 AM","15","0.0750","0.0000","0.0750"
"06852723","11/17/2022","12:15 AM","15","0.0500","0.0000","0.0500"
"06852723","11/17/2022","12:30 AM","15","0.0950","0.0000","0.0950"
"06852723","11/17/2022","12:45 AM","15","0.0850","0.0000","0.0850"
"06852723","11/17/2022","1:00 AM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","1:15 AM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","1:30 AM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","1:45 AM","15","0.0500","0.0000","0.0500"
"06852723","11/17/2022","2:00 AM","15","0.0700","0.0000","0.0700"
"06852723","11/17/2022","2:15 AM","15","0.0650","0.0000","0.0650"
"06852723","11/17/2022","2:30 AM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","2:45 AM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","3:00 AM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","3:15 AM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","3:30 AM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","3:45 AM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","4:00 AM","15","0.0500","0.0000","0.0500"
"06852723","11/17/2022","4:15 AM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","4:30 AM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","4:45 AM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","5:00 AM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","5:15 AM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","5:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","5:45 AM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","6:00 AM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","6:15 AM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","6:30 AM","15","0.0500","0.0000","0.0500"
"06852723","11/17/2022","6:45 AM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","7:00 AM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","7:15 AM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","7:30 AM","15","0.1350","0.0000","0.1350"
"06852723","11/17/2022","7:45 AM","15","0.0850","0.0000","0.0850"
"06852723","11/17/2022","8:00 AM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","8:15 AM","15","0.1050","0.0000","0.1050"
"06852723","11/17/2022","8:30 AM","15","0.1100","0.0000","0.1100"
"06852723","11/17/2022","8:45 AM","15","0.0700","0.0000","0.0700"
"06852723","11/17/2022","9:00 AM","15","0.0850","0.0000","0.0850"
"06852723","11/17/2022","9:15 AM","15","0.0800","0.0000","0.0800"
"06852723","11/17/2022","9:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","9:45 AM","15","0.0900","0.0000","0.0900"
"06852723","11/17/2022","10:00 AM","15","0.0700","0.0000","0.0700"
"06852723","11/17/2022","10:15 AM","15","0.0850","0.0000","0.0850"
"06852723","11/17/2022","10:30 AM","15","0.0500","0.0000","0.0500"
"06852723","11/17/2022","10:45 AM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","11:00 AM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","11:15 AM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","11:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","11:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","12:00 PM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","12:15 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","12:30 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","12:45 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","1:00 PM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","1:15 PM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","1:30 PM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","1:45 PM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","2:00 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","2:15 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","2:30 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","2:45 PM","15","0.0500","0.0000","0.0500"
"06852723","11/17/2022","3:00 PM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","3:15 PM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","3:30 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","3:45 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","4:00 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","4:15 PM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","4:30 PM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","4:45 PM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","5:00 PM","15","0.0500","0.0000","0.0500"
"06852723","11/17/2022","5:15 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","5:30 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","5:45 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","6:00 PM","15","0.0450","0.0000","0.0450"
"06852723","11/17/2022","6:15 PM","15","0.0600","0.0000","0.0600"
"06852723","11/17/2022","6:30 PM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","6:45 PM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","7:00 PM","15","0.0400","0.0000","0.0400"
"06852723","11/17/2022","7:15 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","7:30 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","7:45 PM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","8:00 PM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","8:15 PM","15","0.0550","0.0000","0.0550"
"06852723","11/17/2022","8:30 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","8:45 PM","15","0.0350","0.0000","0.0350"
"06852723","11/17/2022","9:00 PM","15","0.0900","0.0000","0.0900"
"06852723","11/17/2022","9:15 PM","15","0.0850","0.0000","0.0850"
"06852723","11/17/2022","9:30 PM","15","0.1050","0.0000","0.1050"
"06852723","11/17/2022","9:45 PM","15","0.1100","0.0000","0.1100"
"06852723","11/17/2022","10:00 PM","15","0.1500","0.0000","0.1500"
"06852723","11/17/2022","10:15 PM","15","0.1350","0.0000","0.1350"
"06852723","11/17/2022","10:30 PM","15","0.0700","0.0000","0.0700"
"06852723","11/17/2022","10:45 PM","15","0.1400","0.0000","0.1400"
"06852723","11/17/2022","11:00 PM","15","0.0950","0.0000","0.0950"
"06852723","11/17/2022","11:15 PM","15","0.0900","0.0000","0.0900"
"06852723","11/17/2022","11:30 PM","15","0.0700","0.0000","0.0700"
"06852723","11/17/2022","11:45 PM","15","0.0650","0.0000","0.0650"
"06852723","11/18/2022","12:00 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","12:15 AM","15","0.0600","0.0000","0.0600"
"06852723","11/18/2022","12:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","12:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","1:00 AM","15","0.0500","0.0000","0.0500"
"06852723","11/18/2022","1:15 AM","15","0.0350","0.0000","0.0350"
"06852723","11/18/2022","1:30 AM","15","0.0350","0.0000","0.0350"
"06852723","11/18/2022","1:45 AM","15","0.0500","0.0000","0.0500"
"06852723","11/18/2022","2:00 AM","15","0.0600","0.0000","0.0600"
"06852723","11/18/2022","2:15 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","2:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","2:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","3:00 AM","15","0.0400","0.0000","0.0400"
"06852723","11/18/2022","3:15 AM","15","0.0350","0.0000","0.0350"
"06852723","11/18/2022","3:30 AM","15","0.0350","0.0000","0.0350"
"06852723","11/18/2022","3:45 AM","15","0.0500","0.0000","0.0500"
"06852723","11/18/2022","4:00 AM","15","0.0600","0.0000","0.0600"
"06852723","11/18/2022","4:15 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","4:30 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","4:45 AM","15","0.0400","0.0000","0.0400"
"06852723","11/18/2022","5:00 AM","15","0.0350","0.0000","0.0350"
"06852723","11/18/2022","5:15 AM","15","0.0350","0.0000","0.0350"
"06852723","11/18/2022","5:30 AM","15","0.0500","0.0000","0.0500"
"06852723","11/18/2022","5:45 AM","15","0.0550","0.0000","0.0550"
"06852723","11/18/2022","6:00 AM","15","0.0550","0.0000","0.0550"
